spatial_id;votes;invalid;valid;spoe;oevp;kpoe;gruene;fpoe;bzoe;weg;oeabp;salz;zpa
101;359;8;351;38;134;58;87;23;9;0;1;0;1
102;381;4;377;50;136;55;69;44;19;0;0;3;1
103;424;3;421;47;204;54;70;33;12;0;1;0;0
104;365;1;364;41;143;48;73;33;21;1;1;3;0
201;386;9;377;54;148;51;72;35;17;0;0;0;0
202;489;9;480;71;197;52;100;34;18;1;4;2;1
203;413;9;404;91;147;47;64;33;11;2;6;2;1
204;436;4;432;62;168;52;94;35;16;2;3;0;0
205;430;4;426;49;156;67;100;41;13;0;0;0;0
206;465;4;461;43;175;57;145;29;9;2;0;1;0
207;450;6;444;43;178;65;108;33;11;1;3;1;1
208;457;5;452;45;168;72;121;30;10;0;5;0;1
209;463;2;461;36;239;55;93;26;8;1;2;0;1
210;409;4;405;36;165;59;114;15;11;2;0;2;1
211;425;4;421;37;177;54;104;33;9;1;2;4;0
212;383;1;382;40;160;60;90;18;13;0;1;0;0
213;434;10;424;38;169;60;130;15;8;0;3;1;0
214;416;6;410;53;158;57;92;31;14;2;3;0;0
215;404;4;400;48;215;22;74;31;8;0;2;0;0
301;365;5;360;39;149;44;83;24;13;1;6;1;0
302;384;2;382;29;160;47;101;31;12;0;2;0;0
303;361;2;359;46;161;37;83;22;6;0;1;2;1
304;381;3;378;46;170;31;79;36;14;0;0;2;0
305;437;7;430;78;174;47;88;32;8;0;3;0;0
306;411;8;403;39;208;41;59;40;13;0;1;2;0
307;379;9;370;30;180;37;83;21;13;0;3;3;0
308;431;5;426;41;181;38;114;36;14;1;0;1;0
309;428;1;427;40;194;54;102;24;11;0;0;2;0
310;409;1;408;44;177;40;111;24;10;1;1;0;0
311;464;8;456;33;254;37;85;29;9;5;3;1;0
312;376;5;371;37;173;36;63;43;13;2;2;2;0
313;412;3;409;52;185;48;92;22;6;1;1;1;1
314;415;3;412;46;176;58;86;36;9;1;0;0;0
315;472;6;466;61;208;50;95;32;17;1;0;1;1
316;336;7;329;51;134;41;62;25;13;3;0;0;0
317;438;0;438;60;179;50;94;39;14;0;0;1;1
318;408;6;402;67;160;40;90;31;11;1;1;0;1
319;477;4;473;89;154;70;98;40;16;1;1;4;0
320;369;0;369;92;125;42;40;47;13;0;1;9;0
321;486;5;481;58;211;55;104;35;11;0;5;2;0
322;389;8;381;67;161;55;47;37;8;0;2;3;1
323;453;6;447;90;144;60;95;42;11;2;0;3;0
324;341;4;337;69;138;33;42;42;10;1;1;1;0
401;306;7;299;52;112;42;65;21;4;0;2;1;0
402;339;16;323;47;85;56;93;28;13;0;0;1;0
403;308;5;303;63;96;41;51;40;9;2;1;0;0
404;400;1;399;70;168;53;53;39;14;0;1;1;0
405;306;2;304;88;101;38;25;33;18;0;0;0;1
406;280;2;278;77;62;53;32;30;20;0;3;0;1
407;341;3;338;128;73;35;13;64;22;0;2;0;1
408;336;7;329;134;57;39;9;62;25;0;1;1;1
409;320;1;319;174;50;21;11;44;16;1;2;0;0
410;424;19;405;139;94;45;37;62;26;0;1;1;0
411;435;2;433;103;143;53;48;66;18;1;1;0;0
412;316;2;314;65;65;62;60;49;12;1;0;0;0
413;302;5;297;77;58;59;47;31;22;0;0;2;1
414;352;14;338;128;72;45;29;47;15;1;0;0;1
415;396;3;393;57;115;54;105;33;22;2;2;0;3
416;262;0;262;99;59;30;6;53;15;0;0;0;0
417;300;1;299;80;92;25;17;47;38;0;0;0;0
418;332;5;327;117;59;39;15;60;35;2;0;0;0
419;337;2;335;95;95;39;58;32;10;1;5;0;0
420;372;8;364;90;103;34;46;56;30;0;5;0;0
421;427;6;421;127;106;49;42;69;26;0;1;0;1
422;368;3;365;92;89;40;89;34;16;0;4;0;1
423;344;2;342;89;99;47;41;43;21;2;0;0;0
424;336;5;331;95;111;45;24;38;13;0;2;2;1
425;340;9;331;92;95;55;26;45;14;0;2;2;0
426;408;3;405;87;149;34;61;57;14;1;2;0;0
501;336;5;331;60;97;41;94;28;8;0;2;0;1
502;339;2;337;62;82;56;102;18;12;1;3;1;0
503;372;3;369;62;106;47;85;52;8;5;0;4;0
504;339;3;336;79;100;40;53;44;17;0;1;2;0
505;270;4;266;73;64;46;18;33;26;3;0;3;0
506;347;7;340;74;108;48;32;53;21;1;2;1;0
507;354;7;347;103;102;58;28;40;13;0;3;0;0
508;305;2;303;51;88;46;92;18;4;0;1;3;0
509;221;1;220;64;54;36;32;24;8;0;2;0;0
510;353;20;333;84;112;31;35;49;19;0;3;0;0
511;392;4;388;115;101;47;43;61;18;2;1;0;0
512;305;31;274;82;64;30;28;52;15;3;0;0;0
513;314;3;311;53;71;67;59;48;11;1;0;1;0
514;370;5;365;64;146;40;28;67;17;0;2;1;0
515;289;5;284;68;88;49;20;49;10;0;0;0;0
516;333;10;323;119;64;46;15;44;34;0;1;0;0
517;241;3;238;70;53;39;8;43;24;0;1;0;0
518;344;2;342;79;110;51;28;51;18;3;2;0;0
519;281;8;273;90;62;51;13;32;23;0;2;0;0
520;273;1;272;81;49;52;10;48;30;1;1;0;0
521;265;3;262;88;63;37;11;31;25;2;4;1;0
522;291;1;290;107;81;31;13;39;15;0;3;1;0
523;363;4;359;115;99;51;23;57;11;0;3;0;0
524;270;3;267;84;68;39;14;46;14;0;1;1;0
601;376;1;375;56;140;62;70;25;18;0;2;2;0
602;367;4;363;41;97;72;103;27;17;1;5;0;0
603;398;4;394;57;120;81;95;31;8;1;1;0;0
604;329;4;325;38;122;51;68;28;15;2;0;0;1
605;413;5;408;41;166;53;94;39;12;0;2;1;0
606;405;6;399;54;134;69;109;13;12;1;2;4;1
607;386;6;380;53;144;56;78;34;12;2;1;0;0
608;430;1;429;83;135;63;102;34;7;1;4;0;0
609;398;3;395;79;122;64;88;24;13;1;3;1;0
610;300;6;294;59;91;33;67;27;14;1;2;0;0
611;389;1;388;61;134;46;91;32;22;1;0;0;1
612;332;3;329;57;106;46;67;35;10;1;5;2;0
613;320;13;307;59;98;48;44;41;17;0;0;0;0
614;296;7;289;64;80;57;39;33;15;1;0;0;0
615;336;25;311;46;114;41;46;43;17;2;2;0;0
616;416;3;413;83;150;30;79;49;19;0;3;0;0
617;359;7;352;53;172;51;41;21;12;0;2;0;0
618;523;7;516;86;192;64;99;47;24;1;1;1;1
619;431;1;430;96;160;45;47;54;26;0;2;0;0
620;387;3;384;72;152;48;50;39;19;1;2;1;0
621;329;25;304;88;74;43;23;51;21;0;2;2;0
622;287;2;285;113;62;46;16;34;11;3;0;0;0
623;445;19;426;86;196;46;51;33;10;0;3;0;1
624;334;3;331;89;116;32;32;46;12;0;3;1;0
625;379;6;373;122;102;42;34;42;29;1;0;0;1
626;374;7;367;101;74;78;25;61;24;2;1;0;1
627;301;1;300;122;66;34;14;39;20;1;2;0;2
628;224;13;211;70;24;46;5;45;19;0;1;0;1
629;286;7;279;88;70;48;15;40;16;0;1;0;1
630;289;20;269;91;61;46;9;34;23;3;0;2;0
631;269;4;265;77;49;40;28;52;15;0;0;1;3
701;317;1;316;106;64;56;12;62;14;1;0;0;1
702;359;5;354;103;116;34;26;51;22;0;1;0;1
703;401;4;397;88;181;33;27;46;18;0;2;2;0
704;325;1;324;78;66;63;23;74;19;0;0;0;1
705;429;7;422;89;207;34;19;50;20;0;3;0;0
706;347;2;345;68;135;36;37;46;18;1;2;0;2
707;370;4;366;134;132;20;35;21;21;0;3;0;0
708;428;8;420;96;191;21;28;58;21;2;3;0;0
709;370;15;355;69;174;32;29;39;10;0;1;0;1
710;437;13;424;101;151;43;49;53;23;2;1;1;0
711;423;11;412;109;137;38;30;72;18;0;5;3;0
712;369;11;358;90;160;19;17;46;20;0;4;1;1
713;435;5;430;112;194;34;17;45;26;1;1;0;0
714;349;2;347;111;100;30;10;63;25;1;4;3;0
801;435;17;418;50;156;48;92;49;18;2;3;0;0
802;425;7;418;39;195;46;91;35;7;0;3;1;1
803;404;10;394;72;180;30;68;33;9;0;1;1;0
804;469;6;463;53;181;46;133;30;13;0;6;1;0
805;469;9;460;53;174;57;136;25;10;1;4;0;0
806;491;25;466;36;260;34;99;22;13;0;1;1;0
807;500;10;490;53;233;38;122;23;15;0;3;2;1
808;481;2;479;58;246;36;88;31;19;0;0;0;1
809;409;4;405;48;173;53;67;43;21;0;0;0;0
810;452;7;445;71;209;27;77;34;17;1;7;2;0
811;391;5;386;56;137;45;108;23;13;1;2;1;0
812;430;2;428;46;218;35;79;29;14;1;3;2;1
813;529;5;524;96;242;50;67;44;20;2;3;0;0
814;429;5;424;67;202;35;64;34;17;1;3;1;0
815;464;22;442;71;187;53;59;49;19;0;2;2;0
901;407;0;407;42;199;36;86;29;10;1;4;0;0
902;454;16;438;44;211;41;99;29;8;0;3;0;3
903;411;6;405;49;198;57;58;32;9;0;2;0;0
904;399;9;390;46;178;51;65;34;12;1;1;1;1
905;385;2;383;69;161;38;54;49;11;0;0;1;0
906;440;5;435;36;247;28;60;49;8;0;6;1;0
907;516;9;507;43;260;41;102;40;16;0;2;2;1
908;435;3;432;50;221;36;78;29;14;0;2;1;1
909;413;13;400;46;199;45;53;37;16;0;3;1;0
910;471;4;467;65;224;28;82;47;18;1;1;0;1
911;500;8;492;80;243;40;62;44;18;2;2;0;1
912;485;16;469;63;205;57;87;46;7;1;3;0;0
913;429;5;424;90;183;54;44;33;12;0;5;2;1
1001;308;9;299;52;131;32;43;25;11;0;3;2;0
1002;360;8;352;49;168;26;54;41;13;0;1;0;0
1003;393;0;393;63;178;43;68;29;8;0;4;0;0
1004;419;5;414;68;169;40;79;43;13;0;2;0;0
1005;421;3;418;54;193;49;64;32;12;7;6;0;1
1006;360;5;355;39;171;40;53;44;7;0;1;0;0
1007;431;5;426;61;222;27;45;42;19;4;2;3;1
1101;387;11;376;31;188;46;74;22;10;2;2;1;0
1102;443;4;439;35;237;42;72;34;16;2;1;0;0
1103;474;10;464;41;230;55;93;29;9;1;4;0;2
1104;390;3;387;39;163;44;84;41;12;2;2;0;0
1105;482;1;481;40;273;33;75;46;11;1;2;0;0
1106;463;5;458;57;246;28;81;34;9;0;1;2;0
1107;515;6;509;47;239;52;133;21;12;3;2;0;0
1108;454;2;452;59;217;40;74;47;9;0;4;1;1
1109;538;5;533;51;298;38;76;45;18;1;5;1;0
1201;421;0;421;80;153;52;64;47;22;2;0;0;1
1202;374;5;369;89;152;43;19;47;16;0;1;2;0
1203;400;5;395;93;164;29;44;44;17;0;3;0;1
1204;505;5;500;93;200;41;113;36;16;0;1;0;0
1205;451;3;448;73;186;49;67;49;15;2;4;3;0
1206;390;4;386;54;163;46;76;30;12;1;4;0;0
1207;453;7;446;84;197;45;71;41;6;0;1;1;0
1208;400;4;396;98;121;55;68;38;13;0;2;1;0
1209;474;3;471;87;211;52;77;24;15;0;5;0;0
1210;483;16;467;105;155;41;104;37;20;1;3;1;0
1211;435;16;419;92;179;38;48;42;15;2;2;1;0
1212;461;5;456;48;214;38;94;34;21;1;5;1;0
1213;461;12;449;80;219;46;52;35;16;1;0;0;0
1214;448;6;442;72;208;25;69;43;18;1;3;1;2
1215;491;15;476;61;211;64;71;44;21;0;3;1;0
1216;449;6;443;76;193;50;57;51;14;0;2;0;0
1217;459;1;458;79;207;53;67;33;15;2;2;0;0
1218;513;4;509;97;223;36;56;68;18;4;5;2;0
1219;474;10;464;72;239;36;56;40;16;1;2;0;2
1301;380;3;377;117;98;36;25;66;31;0;2;0;2
1302;406;5;401;80;172;41;28;52;25;1;0;2;0
1303;294;4;290;127;79;19;10;39;14;1;1;0;0
1304;364;7;357;95;118;42;42;43;16;0;1;0;0
1305;391;3;388;73;151;42;40;55;19;2;3;2;1
1306;352;1;351;54;164;33;59;30;9;0;0;1;1
1307;306;2;304;105;57;33;9;71;27;1;0;1;0
1308;429;2;427;95;136;52;42;70;30;0;2;0;0
1309;361;0;361;72;132;41;31;52;30;1;2;0;0
1310;411;19;392;67;157;37;71;38;18;1;0;3;0
1311;293;9;284;55;118;32;29;28;20;0;1;0;1
1312;185;1;184;70;53;17;8;24;12;0;0;0;0
1401;396;5;391;88;129;42;50;52;28;0;1;1;0
1402;378;1;377;86;134;47;30;58;16;0;5;1;0
1403;326;6;320;113;81;32;25;48;15;0;1;2;3
1404;300;1;299;75;91;33;36;52;10;1;1;0;0
1405;305;4;301;79;106;22;41;33;18;1;1;0;0
1406;342;4;338;87;97;53;22;55;19;2;3;0;0
1407;365;12;353;95;106;31;27;58;32;2;2;0;0
1408;470;16;454;86;150;56;72;63;20;2;4;1;0
1409;382;7;375;82;127;48;49;45;19;0;3;0;2
1410;451;3;448;55;194;52;66;51;24;4;1;1;0
1411;340;24;316;57;115;32;39;45;18;0;7;2;1
1412;340;6;334;112;95;34;27;43;18;3;2;0;0
1413;345;40;305;96;70;37;41;46;13;0;2;0;0
1414;320;13;307;98;76;42;22;46;19;0;1;2;1
1415;421;4;417;88;170;35;53;50;17;0;4;0;0
1416;364;2;362;66;141;27;36;68;18;0;5;1;0
1417;369;7;362;71;149;43;54;32;11;0;2;0;0
1418;411;5;406;72;167;53;59;41;12;0;1;0;1
1419;436;1;435;88;158;48;66;44;22;1;7;1;0
1501;335;5;330;60;123;30;29;45;42;1;0;0;0
1502;462;3;459;117;172;39;25;61;34;4;5;1;1
1503;413;5;408;146;116;39;25;53;27;0;2;0;0
1504;326;5;321;81;79;58;17;50;34;1;1;0;0
1505;467;4;463;125;142;47;53;67;25;2;2;0;0
1506;368;4;364;98;90;48;35;60;27;0;3;1;2
1507;418;7;411;85;139;57;32;72;21;2;3;0;0
1508;327;6;321;120;65;59;6;42;28;0;1;0;0
1509;322;5;317;84;108;34;25;47;16;2;1;0;0
1510;368;3;365;164;58;39;18;49;34;1;1;1;0
1511;391;2;389;88;164;33;27;57;15;1;4;0;0
1512;426;2;424;78;176;33;56;64;13;1;2;1;0
1513;435;8;427;128;138;48;29;70;12;1;0;1;0
1514;393;25;368;73;133;52;43;37;25;0;3;1;1
1515;402;5;397;77;157;45;37;45;29;0;7;0;0
1601;394;9;385;95;147;33;29;56;22;0;2;1;0
1602;386;2;384;81;146;38;40;51;23;0;5;0;0
1603;400;17;383;88;138;53;32;54;14;4;0;0;0
1604;362;2;360;109;118;28;31;50;18;0;2;4;0
1605;424;10;414;103;142;55;33;52;26;1;0;2;0
1606;397;3;394;99;150;36;26;54;23;0;2;2;2
1607;375;6;369;125;88;44;27;51;29;0;5;0;0
1608;353;0;353;62;135;45;30;49;28;1;1;1;1
1609;460;3;457;108;168;43;52;58;24;1;2;1;0
1610;420;7;413;112;152;35;32;64;13;3;1;1;0
1611;465;5;460;111;155;44;36;80;32;0;2;0;0
1612;356;8;348;97;139;37;22;36;12;0;2;1;2
1613;372;6;366;130;104;30;25;61;15;0;0;1;0
1614;539;6;533;90;247;26;60;74;33;0;2;1;0
1701;414;16;398;84;128;53;46;59;23;1;3;0;1
1702;392;1;391;98;129;32;34;70;27;0;1;0;0
1703;320;6;314;79;104;15;19;67;27;0;2;0;1
1704;395;8;387;83;150;39;28;55;28;1;1;1;1
1705;341;8;333;84;126;28;17;50;27;0;0;1;0
1706;408;5;403;97;149;36;29;66;21;0;4;0;1
1707;420;5;415;111;126;31;28;84;31;1;0;0;3
2798;3027;32;2995;534;1365;273;515;189;95;5;11;5;3
2799;7413;186;7227;1390;3313;623;967;677;220;11;15;4;7
